,start,beta,natom,nmol,energy
0,500,0,40,64,176.37584078879183
1,100,25,20,32,14.054970668824158
2,700,0,60,64,248.05070126026516
3,700,25,90,64,295.09328965659284
4,200,25,80,64,208.20730447542041
5,900,0,50,10,229.71161938147512
6,600,0,80,64,352.40040981514727
7,900,0,80,32,316.94731785710326
8,300,25,80,10,186.2228890785041
9,400,25,60,32,164.92395947044477
10,500,0,80,10,467.57279638825383
11,700,0,10,64,35.463447736280614
12,900,0,20,32,36.31725231915542
13,600,25,30,32,84.47817045421803
14,300,0,100,32,486.6803168207276
15,700,0,70,32,296.1200445415987
16,700,25,40,32,147.41141956472936
17,700,25,40,10,83.55005163473737
18,700,0,30,10,44.443364070235575
19,300,0,40,10,175.7849739030628
20,900,0,70,32,333.3909400668475
21,200,0,70,32,338.5946275222839
22,900,0,40,10,163.33693857001236
23,100,25,100,64,281.38505452304895
24,200,25,60,10,169.54353791489774
25,700,0,60,32,235.58643348456093
26,500,25,50,64,175.60153591558205
27,600,0,10,64,16.616954315918004
28,800,0,10,10,36.14436398386179
29,400,0,80,64,352.7551599292475
30,900,0,30,32,83.21008563470423
31,300,25,40,32,120.85146544370312
32,200,25,50,10,138.32400845735555
33,600,0,10,32,34.61625794071041
34,200,0,50,64,216.18646457375547
35,400,0,10,32,51.00798042972018
36,400,25,40,10,61.654056535765605
37,300,25,50,64,135.56416070248622
38,200,0,100,10,480.25212796779454
39,800,25,30,64,122.4134561691032
40,100,0,60,64,239.20345335681822
41,800,0,60,32,245.28656520549688
42,600,25,20,64,59.73613469410795
43,800,25,100,64,262.6479074022791
44,900,0,100,64,433.6588188806954
45,800,0,40,64,188.7653206930185
46,200,25,90,32,250.20981642062335
47,300,0,70,10,318.06550750738995
48,700,0,100,10,549.4332705747256
49,500,0,90,10,300.17277995892357
50,300,0,40,64,156.69996834622054
51,800,25,80,64,223.7777668655374
52,400,25,50,10,114.01491404949577
53,100,25,90,32,232.31480104106524
54,300,25,40,10,278.5985196152882
55,200,25,100,10,335.57251707191176
56,400,0,40,64,133.48433749463643
57,200,25,80,32,224.73045576926432
58,800,0,70,10,296.9200668848076
59,200,0,10,64,34.700412509965275
60,600,25,20,32,68.30221011240866
61,500,25,20,32,49.64486151289499
62,300,25,20,64,48.77487563890637
63,300,0,20,10,17.19487692243366
64,300,0,80,10,297.1445624262032
65,100,25,10,10,17.935167261457554
66,400,25,90,32,285.5838830446062
67,700,0,20,64,69.74766688463322
68,100,0,50,64,220.0306886607343
69,400,0,90,32,368.5740393302689
70,200,0,10,10,58.464494893582945
71,800,0,50,10,270.4369572074021
72,600,0,100,10,342.5315096940229
73,200,0,30,10,103.78246018070524
74,700,25,30,32,47.0222340048934
75,300,0,50,10,199.5957315609626
76,900,0,90,64,372.175989793936
77,600,0,70,10,325.2089704658313
78,900,25,50,32,195.9913600769501
79,500,25,90,10,255.59468921148428
80,100,0,50,10,231.35154659467122
81,500,25,40,32,157.25872380425315
82,400,0,20,64,46.51728002358224
83,100,25,80,32,223.87942450567712
84,500,25,40,10,308.1028902130448
85,800,25,90,64,294.49215174995624
86,900,25,40,32,1589114.6303058856
87,100,0,10,32,27.683057262231348
88,100,25,70,32,164.11593271686962
89,500,0,20,10,105.49446426943919
90,700,0,40,10,128.08656691775462
91,600,25,80,64,236.5686378795657
92,600,25,10,64,73.17251366168458
93,700,25,10,10,47.59238873018346
94,900,0,60,10,271.4526811684268
95,100,0,70,32,296.63803743141034
96,200,0,20,32,52.35230621522396
97,800,0,100,10,434.5013182593117
98,100,25,30,10,81.88632786262025
99,800,25,70,64,205.5775517931587
100,100,0,100,10,432.21111915094497
101,900,0,30,64,112.80248019160615
102,200,0,50,10,213.19224662915653
103,400,0,30,64,76.72220776742321
104,700,25,90,10,191.2650307573002
105,100,25,60,64,157.9277532032626
106,500,0,90,32,423.9591425906589
107,600,25,50,10,147.69442276727557
108,900,25,90,64,273.88492587948366
109,800,25,80,32,190.97477905792377
110,900,0,30,10,76.91171160336057
111,800,0,40,10,139.8606189262737
112,300,25,100,10,285.80704772983984
113,500,0,40,10,147.99193162433866
114,500,25,50,10,119.61397042160516
115,600,0,70,32,283.94252121135685
116,400,25,100,64,293.69479194375606
117,500,25,60,32,163.26236919682574
118,900,25,90,32,257.7881453786655
119,100,25,90,10,264.877848952264
120,300,0,30,10,67.39388494335503
121,300,0,30,64,110.93379681424436
122,700,0,10,32,45.322929543778656
123,700,25,90,32,281.24607973840574
124,400,25,20,32,137.14016538028872
125,200,0,40,10,122.7087296632399
126,200,0,80,64,386.15568609902965
127,100,0,30,64,81.99174231930478
128,500,25,30,10,309.72826363772697
129,900,0,40,32,153.55473906050958
130,800,0,30,64,94.74253590405323
131,500,25,40,64,110.31006039114085
132,300,25,50,10,124.79749598561256
133,700,25,30,64,59.83197555601645
134,600,0,60,64,240.135134050969
135,800,0,100,32,369.5603051578711
136,700,0,50,10,204.36003944010417
137,300,25,10,32,33.205208288122144
138,700,25,70,10,178.1685813889932
139,100,0,80,32,344.634761006381
140,400,0,70,10,423.3455090200744
141,700,0,70,10,357.7321652092782
142,900,0,70,64,284.6347330966596
143,900,25,60,32,297.2481488810425
144,400,25,10,32,151.34144738879564
145,900,25,70,64,188.18248422123423
146,900,0,100,32,445.23827801886154
147,400,0,40,32,151.30423166391472
148,400,0,10,64,36.74937526731238
149,700,0,30,64,78.50228721605085
150,500,25,10,10,61.64737518760089
151,100,0,100,64,428.3466376542302
152,900,25,80,64,220.46824513439103
153,600,25,30,64,70.13092103512524
154,500,0,60,32,259.03450908144583
155,600,0,20,10,17.16243477353253
156,500,0,30,32,97.05094783665157
157,400,25,90,10,341.42708288127875
158,600,0,60,32,299.47249174376924
159,400,25,60,64,202.1555170566752
160,400,0,90,10,373.3206021323928
161,200,0,30,32,77.07264047661863
162,700,0,10,10,50.41842504213541
163,400,25,40,32,95.23025184908958
164,700,25,100,10,303.24341135392723
165,200,25,20,10,7.26388197852671
166,100,0,90,64,377.5170426420349
167,500,0,50,32,198.50546303299868
168,900,0,50,64,225.05856348002283
169,600,25,60,10,603.7640127005988
170,800,0,60,10,248.4160907864595
171,700,25,50,64,135.67058506640953
172,900,25,40,64,108.4260437638675
173,300,0,100,64,412.4574320834378
174,700,25,50,10,137.16930056915768
175,700,0,80,64,359.6016646740796
176,100,25,20,10,32.45947503626693
177,300,0,80,32,344.7957685365989
178,600,0,90,64,339.6994596365859
179,600,25,100,64,286.46724775021494
180,700,25,100,32,281.44462456835043
181,200,25,50,64,111.38242710908335
182,600,0,60,10,184.85898418430256
183,800,25,30,10,67.59488743834838
184,900,25,10,10,285.13352660334095
185,700,25,20,32,64.08036560058969
186,100,25,70,64,156.38324090171798
187,500,0,80,64,381.40651549865476
188,900,0,20,10,37.76154849195676
189,600,25,20,10,111.11375235907364
190,800,0,90,10,409.99841575360983
191,100,25,30,64,58.25307793527252
192,400,0,60,32,273.57395771435836
193,100,25,50,32,88.42946250620261
194,600,0,80,10,320.81157150166223
195,900,25,60,10,122.38972031236456
196,300,25,80,64,228.4309208964549
197,200,0,60,64,223.99096742563805
198,700,25,60,10,167.36556859491014
199,200,0,20,10,17.90607167249492
200,200,25,60,64,159.06085619949508
201,300,0,90,32,385.20196799096107
202,300,25,20,10,26.872423642835674
203,100,0,10,10,12.658250111411162
204,400,25,50,64,126.15087646864741
205,100,25,100,10,341.90081074247826
206,300,25,90,32,255.9509891780011
207,400,25,70,10,183.0473858928219
208,900,0,70,10,240.8281075370864
209,400,0,80,32,358.9274012932652
210,400,0,70,64,320.04920662632503
211,700,0,50,64,201.5715450153301
212,800,0,70,64,297.6590443524678
213,800,0,50,32,206.44583544654472
214,500,0,20,64,34.06676303422375
215,800,25,60,64,199.33221848430395
216,900,0,90,10,431.3207011853801
217,700,25,60,64,170.19744159097104
218,400,25,10,10,50.522322571861686
219,600,0,50,10,250.4513424466727
220,800,0,40,10,149.18230671296493
221,300,25,70,64,183.59619986033402
222,100,0,70,64,314.7233215542553
223,300,0,90,64,376.26168797485593
224,300,25,30,64,74.16222608206611
225,600,25,100,32,324.6108590685433
226,800,25,70,10,207.63034185802235
227,100,25,50,64,158.8907832250829
228,600,25,40,10,179.54649015425966
229,300,25,70,10,153.18479211211064
230,900,0,50,32,225.3847676435961
231,100,25,60,10,168.55297359374518
232,700,0,20,10,63.99488318817064
233,100,0,60,10,287.76122297577035
234,800,25,40,64,141.68773285698626
235,400,0,50,64,220.6586028888998
236,500,25,70,64,216.61965199371977
237,200,25,90,10,252.78504613763613
238,700,25,40,64,133.40001679788386
239,500,0,70,10,395.39284637213115
240,200,0,60,32,291.26232461462496
241,100,25,50,10,118.29374781079459
242,900,25,30,64,108.00851975270001
243,200,25,30,32,48.973515825570836
244,800,0,60,64,267.98714120987034
245,100,0,90,32,388.5205240362591
246,800,25,100,32,329.66451883670703
247,200,25,40,10,67.61710663370545
248,400,25,20,10,129.66289156449358
249,300,0,50,32,172.43089853355724
250,400,0,60,10,211.9657670604695
251,900,0,60,32,272.6841209297887
252,700,25,70,32,200.93736615118584
253,200,0,40,32,169.0053122188225
254,800,0,90,32,426.63944692571243
255,900,25,20,10,326.2613254416116
256,500,0,20,32,50.21311296304435
257,800,25,20,64,66.78576951396101
258,500,0,70,32,322.2436165670407
259,800,0,50,64,218.2437676669167
260,500,0,90,64,422.39613956500114
261,600,25,70,32,180.14395784698343
262,500,0,100,32,451.6314742028636
263,500,25,90,32,255.9213840912069
264,400,0,100,10,388.85893274801083
265,600,25,70,64,241.22829194547924
266,200,25,20,64,36.358844428393965
267,600,25,90,32,297.42173984574737
268,900,25,50,64,156.81952309902093
269,700,25,50,32,220.68450717980915
270,500,0,50,10,204.15663006935614
271,800,25,60,32,165.5986416477874
272,100,25,90,64,231.0652062421939
273,400,0,100,64,419.54930161714475
274,300,25,100,32,287.6826345591767
275,600,0,70,64,293.5644275746272
276,800,0,30,32,113.80912875375076
277,300,0,10,32,30.19603592884233
278,200,25,10,64,44.14309124073185
279,200,0,60,10,246.51489870130823
280,600,0,20,32,36.27021975739393
281,400,0,50,32,217.32640596623725
282,300,25,10,64,28.775592160297677
283,200,25,30,10,57.747924732339406
284,700,25,20,64,8507.230551676817
285,400,25,100,32,272.8175974462648
286,500,25,70,10,128.2717592144973
